"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland Business Alliance","09/05/2025","","Email","Business and Economic Development","Transportation funding discussion. ","Megan Beyer; Olivia Clark","Jon Isaacs",
"Portland Business Alliance","09/05/2025","","Email","Business and Economic Development","Permitting reform.","Donnie Oliveira","Jon Isaacs",
"Portland Business Alliance","09/05/2025","","Telephone","Business and Economic Development","General discussion of economic conditions in Portland.","Aisling Coghlan","Andrew Hoan",
"Portland Business Alliance","09/06/2025","","Email","Business and Economic Development","Request for meeting and attendance for Best Practices.","Aisling Coghlan; Raihana Ansary ","Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","09/08/2025","","Email","Business and Economic Development","Invitation to dinner at Best Practices trip. ","Donnie Oliveira; Elana Pirtle-Guiney","Andrew Hoan",
"Portland Business Alliance","09/08/2025","","Email","Business and Economic Development","Coordinating testimony for Council's Public Safety Committee meeting.","Spencer Knowles","Meikelo Cabbage",
"Portland Business Alliance","09/09/2025","","Email","Business and Economic Development","Post-meeting follow up with more info on crime prevention resources and programing. ","Olivia Clark","Mark Wells",
"Portland Business Alliance","09/09/2025","","Personal Meeting","Business and Economic Development","Reviewing Enhanced Service District programs and discussing the city's former Crime Prevention Program. ","Olivia Clark","Mark Wells",
"Portland Business Alliance","09/10/2025","","Telephone","Business and Economic Development","Public safety discussion.","Loretta Smith","Jon Isaacs",
"Portland Business Alliance","09/11/2025","","Email","Business and Economic Development","discussion of the City's new budget and structure.","Jonas Biery","Andrew Hoan",
"Portland Business Alliance","09/12/2025","","Telephone","Business and Economic Development","General discussion of economic conditions in Portland","Keith Wilson","Andrew Hoan",
"Portland Business Alliance","09/15/2025","","Telephone","Business and Economic Development","General discussion of economic conditions in Portland","Elana Pirtle-Guiney","Andrew Hoan",
"Portland Business Alliance","09/15/2025","","Email","Business and Economic Development","Downtown Portland Foot Traffic report release and distribution, sharing updated data.","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Madeline West; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Ryan Nielsen; Sameer Kanal; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","09/15/2025","","Personal Meeting","Business and Economic Development","Small business support.","Lisa Freeman","Jon Isaacs",
"Portland Business Alliance","09/16/2025","","Email","Business and Economic Development","Best Practices trip coordination.","Raihana Ansary ","Sydney Mead",
"Portland Business Alliance","09/16/2025","","Telephone","Business and Economic Development","Procedural question about city council meetings.  ","Natalie Sept","Jon Isaacs",
"Portland Business Alliance","09/16/2025","","Email; Meeting Preparation","Business and Economic Development","Scheduling","Natalie Sept","Jon Isaacs",
"Portland Business Alliance","09/16/2025","","Email","Business and Economic Development","Transportation funding.","Megan Beyer","Jon Isaacs",
"Portland Business Alliance","09/17/2025","","Personal Meeting","Business and Economic Development","Transportation infrastructure and services funding discussion.","Millicent Williams; Olivia Clark; Priya Dhanapal","Jon Isaacs",
"Portland Business Alliance","09/18/2025","","Email","Business and Economic Development","Meeting request regarding street vendor ordinance. ","Ashley McKenzie; Maria Sipin","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","09/18/2025","","Email","Business and Economic Development","Street vendor ordinance.","Mitch Green","Jon Isaacs",
"Portland Business Alliance","09/18/2025","","Telephone","Business and Economic Development","Street vendors.","Mitch Green","Jon Isaacs",
"Portland Business Alliance","09/18/2025","","Personal Meeting","Business and Economic Development","Introduction and general discussion of economic conditions. ","Cornell Wesley","Andrew Hoan",
"Portland Business Alliance","09/18/2025","","Personal Meeting; Virtual Meeting","Business and Economic Development","Best Practices pre-trip briefing.","Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Zimmerman; Kezia Wanner; Megan Beyer; Natalie Sept; Raihana Ansary ; Spencer Knowles","Andrew Hoan; Jon Isaacs; Sydney Mead",
"Portland Business Alliance","09/19/2025","","Email","Business and Economic Development","Invitation to Business Leadership Evening. ","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Madeline West; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Ryan Nielsen; Sameer Kanal; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","09/19/2025","","Email","Business and Economic Development","Central City Taskforce Tax Advisory Group final report release and distribution.","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Madeline West; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Ryan Nielsen; Sameer Kanal; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","09/19/2025","","Email","Business and Economic Development","Street vendor ordinance. ","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","09/19/2025","","Email","Business and Economic Development","Retail/Storefront businesses ordinance.","Dan Ryan","Jon Isaacs",
"Portland Business Alliance","09/22/2025","","Email","Business and Economic Development","Street vendor ordinance. ","Mitch Green","Jon Isaacs",
"Portland Business Alliance","09/22/2025","","Virtual Meeting","Business and Economic Development","Street vendor ordinance discussion.","Mitch Green","Sydney Mead",
"Portland Business Alliance","09/22/2025","","Personal Meeting","Business and Economic Development","Street vendor ordinance. ","Mitch Green","Jon Isaacs",
"Portland Business Alliance","09/23/2025","","Telephone","Business and Economic Development","Homelessness discussion.","Loretta Smith","Jon Isaacs",
"Portland Business Alliance","09/25/2025","","Telephone","Business and Economic Development","Unity Letter coordination. ","Eric Zimmerman","Jon Isaacs",
"Portland Business Alliance","09/25/2025","","Telephone","Business and Economic Development","82nd Ave. Improvement Project. ","Millicent Williams","Jon Isaacs",
"Portland Business Alliance","09/25/2025","","Text Message","Business and Economic Development","Central library. ","Aisling Coghlan","Jon Isaacs",
"Portland Business Alliance","09/25/2025","","Text Message","Business and Economic Development","82nd Ave. Improvement","Millicent Williams","Jon Isaacs",
"Portland Business Alliance","09/27/2025","09/28/2025","Text Message","Business and Economic Development","Unity letter","Dan Ryan; Elana Pirtle-Guiney; Kezia Wanner; Natalie Sept","Jon Isaacs",
"Portland Business Alliance","09/27/2025","","Telephone","Business and Economic Development","Unity Letter coordination.","Dan Ryan; Natalie Sept; Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","09/27/2025","","Telephone","Business and Economic Development","Discussing attendance for Best Practices trip.","Elana Pirtle-Guiney","Andrew Hoan",
"Portland Business Alliance","09/27/2025","","Telephone","Business and Economic Development","Discussing attendance for Best Practices trip.","Dan Ryan","Andrew Hoan",
"Portland Business Alliance","09/27/2025","09/28/2025","Email","Business and Economic Development","Request to sign Unity Letter opposing federal troop deployment to Portland, updates regarding deadline and release. ","Aisling Coghlan; Andre Miller; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Kezia Wanner; Lisa Freeman; Loretta Smith; Madeline West; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Ryan Nielsen; Sameer Kanal; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","09/28/2025","09/30/2025","Personal Meeting","Business and Economic Development","Best Practices trip. ","Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Zimmerman; Kezia Wanner; Megan Beyer; Natalie Sept; Raihana Ansary ; Spencer Knowles","Andrew Hoan; Jon Isaacs; Sydney Mead",
"Portland Business Alliance","09/29/2025","","Email","Business and Economic Development","Unity Letter. ","Natalie Sept","Jon Isaacs",
"Portland Business Alliance","09/30/2025","","Telephone","Business and Economic Development","Downtown power washing discussion ","Eric Zimmerman","Steve Wytcherley",
"Portland Business Alliance","09/30/2025","","Email","Business and Economic Development","Portland Bureau of Transportation Street Plaza project questions.","Dan Ryan; Will Mespelt","Steve Wytcherley",
"Portland Business Alliance","09/30/2025","","Telephone","Business and Economic Development","Asked for update regarding Time Place Manner enforcement start date. ","Kristopher Taft","Mark Wells",
"Portland DSA","07/08/2025","","Telephone","Parks and Recreation: natural areas ","Asked to support parks levy","Maria Sipin","Benjamin Gilbert",
"Portland DSA","07/08/2025","07/09/2025","Personal Meeting; Telephone","Police and Public Safety","Asked to support immigrants rights","Maria Sipin; Mitch Green","Aiden Summers; Benjamin Gilbert",
"Portland DSA","07/10/2025","","Email; Telephone","International Affairs","Request to sign on to letter related to international affairs","Mitch Green","Olivia Katbi",
"Portland DSA","07/10/2025","","Telephone","Other: Federal policy","Asked about responding to federal policy ","Mitch Green","Olivia Katbi",
"Portland DSA","08/02/2025","","Text Message","International Affairs","Asked to sign onto an Open Letter to Oregon’s US Congressional Representatives: Support HR 3565 Block the Bombs Act","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","08/06/2025","","Telephone","International Affairs","Request to sign on to letter related to international affairs","Tiffany Koyama Lane","Lydia Kiesling",
"Portland DSA","08/18/2025","09/30/2025","Meeting Preparation; Personal Meeting","International Affairs","Meeting with councilors to request human rights screen and arms embargo resolution","Angelita Morillo; Mitch Green; Sameer Kanal; Tiffany Koyama Lane","Benjamin Gilbert; Lydia Kiesling; Olivia Katbi; Ricky King; Rod Such; Sarah Farahat; Stacey Nuissi",
"Portland DSA","08/19/2025","","Telephone","Business and Economic Development","Asked about who supports and opposes the hotdog cart ordinance ","Christian Aguinaga ","Benjamin Gilbert",
"Portland DSA","08/27/2025","","Telephone","Police and Public Safety","Asked what Mitch's office is going to do to respond to federal troops in Portland ","Maria Sipin","Benjamin Gilbert",
"Portland DSA","09/06/2025","09/12/2025","Personal Meeting","Housing and Community Development","Asked electeds develop a social housing program","Candace Avalos; Jamey Evenstar; Jamie Dunphy; Madeline West; Maria Sipin; Mitch Green","Benjamin Gilbert",
"Portland DSA","09/15/2025","","Telephone","International Affairs","Asked Mitch's Office to send a thank you letter to Elke Haneltorch","Maria Sipin","Benjamin Gilbert",
"Portland DSA","09/30/2025","","Email","Other: Federal policy","Thanked Morillo for her appearance on MSNBC","Angelita Morillo","Jordan Lewis",
"Portland Forward","07/17/2025","07/24/2025","Meeting Preparation","Other: Government processes","Civic engagement; support democracy improvements for council operations","Elana Pirtle-Guiney","Doug Allen; Emma Brent; James Ofsink; Jefferson Smith; Joseph Emerson",
"Portland Forward","07/28/2025","","Personal Meeting","Other: Government processes","Civic engagement; support democracy improvements for council operations; ","Elana Pirtle-Guiney; Emily Hebbron","Emma Brent; James Ofsink; Jefferson Smith; Joseph Emerson; Susan Mottet",
"Portland Forward","08/14/2025","","Meeting Preparation","Other: Government processes","Civic engagement; support democracy improvements for council operations; civic assemblies","Steve Novick","Doug Allen; James Ofsink; Jefferson Smith; Joseph Emerson",
"Portland Forward","08/21/2025","","Personal Meeting","Other: Government processes","Civic engagement; support democracy improvements for council operations; civic assemblies","Steve Novick","Doug Allen; Jefferson Smith; Joseph Emerson",
"Portland Forward","08/28/2025","","Meeting Preparation","Other: Government processes","Support democracy improvements for council operations; civic assemblies","Angelita Morillo","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","09/02/2025","","Personal Meeting","Other: Government processes","Council operations improvements; democracy issues; civic assemblies","Angelita Morillo","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","09/18/2025","","Meeting Preparation","Other: Government processes","Civic engagement; support democracy improvements for council operations; civic assemblies","Eric Zimmerman","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","09/25/2025","","Personal Meeting","Other: Government processes","Civic engagement; support democracy improvements for council operations; civic assemblies","Eric Zimmerman","Doug Allen; James Ofsink; Jefferson Smith",
"Portland General Electric ","07/01/2025","09/30/2025","Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Sustainable Development: energy","Harborton Reliability Project ","Aisling Coghlan; Alexander Browne; Andre Miller; Ashley Hernandez; Ashley McKenzie; Candace Avalos; Dan Ryan; David Kuhnhausen; Donnie Oliveira; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Eva Stanganelli; Grace Galvez Mora; Jacq Tjaden; Jennifer Stewart; Kezia Wanner; Lisa Freeman; Madeline West; Maria Sipin; Mary Li; Megan Beyer; Natalie Sept; Raihana Ansary ; Sameer Kanal; Spencer Knowles; Sprout Chinn; Steve Novick; Tiffany Koyama Lane; Will Mespelt","Kristen Sheeran ; Preston Korst; Randy Franks ",
"Portland General Electric ","07/01/2025","09/30/2025","Communication Preparation; Meeting Preparation; Personal Meeting; Virtual Meeting","Sustainable Development: energy","Operations and Vegetation Management Permitting ","David Kuhnhausen; Donnie Oliveira; Millicent Williams; Priya Dhanapal; Sonia Schmanski","Preston Korst",
"Portland General Electric ","08/13/2025","08/15/2025","Email","Sustainable Development: energy","Naito Shelter Capital/Electrical upgrades","Aisling Coghlan; Raihana Ansary ","Preston Korst",
"Portland General Electric ","08/25/2025","09/30/2025","Email; Meeting Preparation; Personal Meeting","Sustainable Development: energy","Invitation to tour PGE's Integrated Operations Center","Alexander Browne; Ashley McKenzie; Donnie Oliveira; Elana Pirtle-Guiney; Eva Stanganelli; Grace Galvez Mora; Jennifer Stewart; Keith Wilson; Priya Dhanapal","Preston Korst",
"Portland Metropolitan Association of Realtors","08/19/2025","","Personal Meeting","Housing and Community Development","Social Housing, Rental Regulations Study","Helmi Hisserich","Amy Ruiz",
"Portland Metropolitan Association of Realtors","09/18/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Transportation Funding","Millicent Williams; Olivia Clark; Priya Dhanapal","Amy Ruiz; Kari Chisholm; Michele Gila",
"Portland Psychedelic Society Action Fund","07/11/2025","","Personal Meeting","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm; Nate Howard",
"Portland Psychedelic Society Action Fund","07/24/2025","","Telephone","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","07/28/2025","","Personal Meeting","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","07/31/2025","","Personal Meeting","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","08/22/2025","","Telephone","Police and Public Safety","Psychedelic Policy","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","09/10/2025","","Text Message","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm",
"Portland Psychedelic Society Action Fund","09/11/2025","","Telephone","Police and Public Safety","Portland Psychedelic Health & Safety Act","Christian Aguinaga ","Kari Chisholm",
"Portland State University","07/14/2025","08/28/2025","Meeting Preparation; Personal Meeting; Telephone; Text Message","Business and Economic Development","Performing Arts and Culture Center","Donnie Oliveira; Jamie Dunphy; Madeline West; Natalie Sept","Amy Ruiz; Donald Forsythe; Eric Noll; Jason Franklin; Kimberly Koops; Sarah Schwarz",
"Portland State University","07/16/2025","09/16/2025","Goodwill Building (non-lobbying)","Education","Institute for Portland Metropolitan Studies","Eric Zimmerman; Jonas Biery; Michael Jordan; Olivia Clark; Ruth Levine; Steve Novick","Earl Blumenauer; Tyler Frisbee",
"Portland State University","07/31/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","SW Jackson Street Rename project","Megan Beyer","Eric Noll",
"Portland State University","08/27/2025","","Personal Meeting","Financial Administration and Management","Asset Management Strategy; City contracting and procurement; potential partnership with PSU","Sara Morrissey","Eric Noll",
"Portland State University","09/05/2025","","Personal Meeting","Education","PSU updates; engagement opportunities for Mayor Wilson and President Cudd","Raihana Ansary ","Eric Noll",
"Portland: Neighbors Welcome","07/01/2025","08/06/2025","Email; Personal Meeting; Virtual Meeting","Housing and Community Development","Get updates from BPS on progress related to City's committed Housing Production Strategies","Eric Engstrom","Dave Peticolas; Ian Meisner; Jennifer Shuch; Matthew Tuckerbaum",
"Portland: Neighbors Welcome","07/20/2025","09/30/2025","Committee Meeting; Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting","Housing and Community Development","Secure presentation on Inner Eastside for All and BPS Infrastructure Study to Climate, Resilience, and Land Use Committee","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Dan Ryan; Jamey Evenstar; Maria Sipin; Mitch Green; Sameer Kanal; Spencer Knowles; Steve Novick; Suzy Deuster","Aaron Brown; Andrea Haverkamp; Heidi Hart; Ian Meisner; Indi Namkoong; Leigh Shelton; Luke Norman; Matthew Tuckerbaum; Sam Stuckey; Will Hollingsworth",
"Portland: Neighbors Welcome","08/01/2025","09/20/2025","Email; Goodwill Building (non-lobbying); Personal Meeting","Housing and Community Development","Inner Eastside for All Pedalpalooza bike ride","Tiffany Koyama Lane","Heidi Hart",
"Portland: Neighbors Welcome","08/19/2025","09/23/2025","Communication Preparation; Email; Personal Meeting","Housing and Community Development","Coordinate with Councilor Avalos's office on inclusion of policies in One Housing Strategy","Sofia Diffee","Ian Meisner; Jennifer Shuch",
"Portland: Neighbors Welcome","08/26/2025","09/30/2025","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Social Media","Housing and Community Development","Advocate for single-stair building code changes in October and beyond","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Jennifer Stewart; Loretta Smith; Malynda Valentine; Mitch Green; Natalie Sept; Olivia Clark; Sameer Kanal; Steve Novick; Suzy Deuster","Aaron Brown; Andrea Haverkamp; Beth Deitchman; Bradley Bondy; Dave Peticolas; Debbie Kitchin; Heidi Hart; Ian Meisner; Luke Norman; Matthew Tuckerbaum; Sam Kallen; Saurav Palla; Will Hollingsworth",
"Pro-Animal Oregon","07/01/2025","09/30/2025","Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Text Message; Virtual Meeting","Business and Economic Development","Requesting support for the proposed ban on the sale of foie gras","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Dan Ryan; Elana Pirtle-Guiney; Elijah Crawford; Emily Hebbron; Eva Stanganelli; Jamie Dunphy; Jennifer Stewart; Joel Corcoran; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane; Will Mespelt","Eva Hamer; Sam Schillinger",
"Rip City Management/TBI","08/26/2025","09/15/2025","Personal Meeting","Business and Economic Development","Moda renovation meeting and tour","Aisling Coghlan; Dan Ryan; Donnie Oliveira; Jacq Tjaden; Keith Wilson; Raihana Ansary ; Sameer Kanal; Spencer Knowles; Sprout Chinn; Steve Novick; Tiffany Koyama Lane; Will Mespelt","Dan Jarman",
"Rip City Management/TBI","09/17/2025","09/21/2025","Email; Personal Meeting","Business and Economic Development","Damian Lillard welcome event at Pioneer Square and Moda renovation","Elana Pirtle-Guiney; Faisal Osman; James Radosta; Mitch Green; Natalie Sept; Olivia Clark; Raihana Ansary ; Sameer Kanal; Sonia Schmanski; Tiffany Koyama Lane","Dan Jarman",
"TMT Development Co., LLC","08/01/2025","","Personal Meeting","Business and Economic Development","Reimagining of Delta Park","Dan Ryan; Elana Pirtle-Guiney; Natalie Sept; Will Mespelt","Jennifer Arguinzoni-Ward ; Vanessa Sturgeon ",
"Verizon","09/02/2025","","Personal Meeting","Transportation: streets, sidewalks and street lighting","Wireless Infrastructure","Raihana Ansary ","Amy Ruiz",
"Verizon","09/15/2025","","Email","Transportation: streets, sidewalks and street lighting","Wireless Infrastructure","Raihana Ansary ","Amy Ruiz",
"Vigor LLC","07/01/2025","09/30/2025","Email; Meeting Preparation; Telephone","Business and Economic Development","FEMA BiOp Ordinance","Dan Ryan; Donnie Oliveira; Emily Hebbron; Jamie Dunphy; Loretta Smith; Natalie Sept; Steve Novick","Benton J Strong",
"Waste Management","07/23/2025","","Email","Sustainable Development: solid waste management","New recycling center grand opening invitation","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","David Huber",
"Waste Management","08/15/2025","","Email","Sustainable Development: solid waste management","New recycling facility grand opening ","Keith Wilson","David Huber",
"Waymo LLC","07/01/2025","09/30/2025","Personal Meeting; Text Message","Transportation: streets, sidewalks and street lighting","Autonomous Vehicles","Aisling Coghlan; Megan Beyer; Millicent Williams; Olivia Clark","Amy Ruiz",
